age,household_income,gender,store_location,typical_queue_wait_time,distance_to_store,percent_self_service_checkout_uses,children,fruit_and_veg_items,meat_items,cupboard_items,frozen_items,toiletries_items,other_items,has_loyalty_card,brand_loyalty,typical_visit_time,typical_shopping_mission,brings_own_bag,average_time_in_store,typical_payment_method,satisfaction,Customer_Comment
65,22342,Female,Fakenham,8.1,,0.11,0,3,2,3,1,1,2,No,Low,Morning,Top-up,No,70.9,Card,High,
39,24956,Prefer not to say,Wymonham,14.8,3.3,0.17,0,8,2,1,1,1,2,No,Medium,Afternoon,Top-up,No,66.7,Unknown,Low,Not the best visit today doing some bits for dinner. everyone looked stretched.
38,60898,Female,Fakenham,9.6,2.9,0.35,3,3,13,12,17,12,1,Yes,High,Evening,Bulk shop,Yes,61.5,Card,Medium,"Neither great nor terrible on my way home doing a full weekly shop. the store felt understaffed, and checkout was quick. Fresh items were well replenished."
53,19570,Female,Fakenham,9.4,0.9,0.28,1,3,8,13,5,4,3,Yes,Low,Morning,Weekly shop,No,40.3,Card,Very High,
32,22724,Female,Fakenham,5.5,0.8,0.62,0,3,1,5,0,1,2,Yes,Medium,Afternoon,Top-up,No,36.7,Apple Pay,Very High,Top-notch service today this morning doing a full weekly shop. the fresh areas looked spotless. The promotions were easy to understand.
32,35735,Prefer not to say,Wymondham,11.2,1.3,0.46,2,4,2,22,7,11,2,Yes,High,Evening,Bulk shop,Yes,67.8,Cash,Medium,"Neither great nor terrible today doing a quick top-up shop. overallpopular items were missing, and the promotions were easy to understand."
44,38681,Male,Fakenham,9.8,,0.18,1,4,3,3,1,0,2,Yes,Medium,Afternoon,Top-up,Yes,50.2,Card,Medium,
60,61264,Male,Wymondham,13.4,,0.13,1,4,6,25,7,6,1,Yes,Low,Morning,Bulk shop,No,71.9,Card,Medium,
33,40411,Male,Wymondham,22.6,2.2,0.18,1,13,4,4,6,1,4,No,Medium,Morning,Weekly shop,No,49.1,Cash,Very Low,Not acceptable today this morning doing a quick top-up shop. prettypopular items were missing and everyone looked stretched. The store felt messy.
23,32310,Female,Thetford,12.3,1.7,0.69,0,4,3,1,0,1,3,Yes,Medium,Afternoon,Top-up,No,65.3,Card,Medium,"Neither great nor terrible this afternoon doing a few essentials. slightlyit was hard to get help. No major complaints, but nothing stood out either."
59,15074,Male,Norwich,8,,0.1,0,3,1,8,1,0,2,No,Low,Evening,Top-up,Yes,37.3,Card,High,"A good experience overall this morning doing a bigger shop than usual. reallyI found good deals without hunting, and fresh items were well replenished. Would recommend based on today."
20,73218,Male,Fabkenham,11.7,1.2,0.85,0,7,1,8,4,3,2,Yes,Medium,Evening,Weekly shop,Yes,51.7,Card,High,Generally a positive visit today doing just a couple of items. a colleague helped me find what I needed and I saved a bit with the promotions. Good enough that I’ll come back.
46,50499,Female,Wymondham,6.8,,0.58,1,10,2,9,2,1,8,Yes,Low,Afternoon,Weekly shop,No,56.9,Card,Very High,
68,51945,Female,Dereham,13.7,1.4,0.03,3,12,3,3,1,1,6,Yes,High,Morning,Top-up,No,43.9,Cash,Very Low,Really unhappy with this visit after work doing some bits for dinner. everyone looked stretched. Self-checkout kept flagging errors. The car park felt cramped.
20,56836,Female,Norwich,12,0.9,0.49,0,2,1,4,0,0,5,No,Medium,Evening,Top-up,Yes,46.7,,Medium,"A fairly standard shopping trip at the weekend doing some bits for dinner. But, several shelves were empty."
46,46364,Female,Dereham,11.3,3,0.17,1,16,1,1,1,2,3,Yes,Low,Evening,Top-up,No,66.4,Cash,Low,Not the best visit on my way home doing some bits for dinner. quiteit was hard to find things. Not sure I’ll rush back.
20,77044,Female,Dereham,10.7,1.3,0.52,0,11,3,4,1,1,4,Yes,Low,Afternoon,Weekly shop,Yes,85.7,Card,Medium,"It was fine, nothing special today doing some bits for dinner. a bitstaff seemed uninterested."
20,54960,Male,Wymondham,9.1,2.8,0.78,0,8,11,14,8,5,1,No,Medium,Evening,Bulk shop,Yes,51.6,Apple Pay,High,"A good experience overall on my way home doing some bits for dinner. surprisinglymy order was ready on time, and staff were friendly."
54,49464,Female,Thetford,9.2,,0.4,1,8,1,6,6,2,3,Yes,Low,Afternoon,Weekly shop,Yes,55.2,Unknown,High,"A good experience overall this afternoon doing just a couple of items. self-checkout was smooth, and click & collect was efficient. It felt safe and well organised. The shop felt well looked after. Would recommend based on today."
58,9989,Prefer not to say,Dereham,5.3,1,0.33,1,5,3,4,3,1,2,Yes,Low,Evening,Top-up,No,72.7,Card,Very High,"Superb visit — very happy after work doing some bits for dinner. the receipt matched the shelf prices, and popular items were available. Help was available when i needed it. Absolutely spot on."
46,33164,Female,Fakenham,13.2,1.8,0.11,0,4,2,2,2,2,1,No,High,Evening,Top-up,Yes,78.8,Card,Medium,
45,88650,Female,Wymondham,10.6,2.7,0.2,0,7,1,1,2,0,1,Yes,High,Afternoon,Top-up,No,66.5,Card,Low,"I wasn’t very impressed this time this afternoon doing a full weekly shop. fresh food quality was disappointing, and everyone looked stretched. Not sure I’ll rush back."
44,103350,Male,Fakenham,12.7,1.2,0.3,3,10,12,7,4,7,5,No,Low,Afternoon,Weekly shop,No,75.5,Cash,High,
59,52522,Female,Thetford,12.8,,0.02,0,7,3,2,17,3,2,No,Medium,Morning,Weekly shop,No,72.7,Card,Very Low,"Honestly, this was a frustrating shop at the weekend doing a full weekly shop. especiallyparking was a hassle and the gates kept beeping for no reason. It needs serious improvement."
47,26735,Male,Thetford,14.5,2,0.12,1,15,16,3,10,7,5,No,Medium,Morning,Bulk shop,Yes,59.8,Card,Very Low,"Very disappointing experience today doing a full weekly shop. loyalty pricing was confusing. Parking was a hassle, and several shelves were empty. I’ll be shopping elsewhere next time."
54,30568,Female,Wymondham,12.7,1,0.25,0,1,3,22,6,11,4,Yes,Medium,Morning,Bulk shop,No,51.4,Cash,Very High,Superb visit — very happy this morning doing a quick top-up shop. I was in and out quickly and there seemed to be enough staff around.
75,15098,Female,Fakenham,12.6,0.6,0.05,0,3,0,4,1,0,4,No,Low,Afternoon,Top-up,No,78.4,Apple Pay,High,"Generally a positive visit after work doing some bits for dinner. reallyaisles were tidy, and help was available when I needed it. Staff were polite and approachable and the receipt matched the shelf prices. Would recommend based on today."
20,35269,Male,Thetford,16.1,1.5,0.64,1,9,5,6,7,2,3,Yes,Medium,Morning,Weekly shop,Yes,47.6,Card,Medium,
47,17287,Male,Wymondham,16.1,,0.27,0,1,2,1,1,0,4,No,High,Morning,Top-up,No,56.5,Card,Medium,"It was fine, nothing special at the weekend doing a full weekly shop. in placesAlso, staff seemed uninterested. The security barriers were annoying, and it took ages to pay. Fine for a quick shop."
60,49764,Male,Fakenham,15.9,1.7,0,1,9,17,8,3,7,3,Yes,High,Evening,Bulk shop,No,53.1,Card,Low,Left feeling underwhelmed at the weekend doing a bigger shop than usual. the machine rejected my card once. Getting out took longer than it should have. The store felt messy. Could be improved.
38,23901,Male,Wymondham,12.4,1.1,0.32,2,14,4,8,7,1,1,No,Low,Evening,Weekly shop,No,75.6,Card,Medium,A fairly standard shopping trip this morning doing a quick top-up shop. help was available when I needed it.
31,107569,Female,Fakenham,17.7,3.8,0.5,1,8,21,6,12,3,0,Yes,High,Evening,Bulk shop,Yes,61.9,Card,Low,I wasn’t very impressed this time on my way home doing just a couple of items. especiallyI couldn’t find the discounts advertised. Loyalty pricing was confusing.
31,48812,Female,orwich,10.1,1.2,0.71,2,11,4,15,5,3,2,Yes,Low,Afternoon,Weekly shop,Yes,44.3,Unknown,Very High,"Top-notch service today on my way home doing a quick top-up shop. pleasantlysubstitutions were sensible. Someone on the floor actually walked me to the right aisle and that said, signage wasn’t clear. I’d definitely recommend it."
38,52238,Female,Thetford,8.8,8,0.19,1,16,12,4,2,1,1,No,Medium,Evening,Weekly shop,Yes,45.3,Apple Pay,Low,"Left feeling underwhelmed after work doing a few essentials. several shelves were empty, and offers weren’t clearly marked."
40,39868,Female,Dereham,14.3,4,0.23,0,13,13,3,2,2,4,No,High,Afternoon,Weekly shop,No,63.9,Apple Pay,Very Low,
54,27499,Prefer not to say,Dereham,9.1,0.8,0.24,1,11,7,4,3,5,3,Yes,Medium,Morning,Weekly shop,Yes,46.3,Card,Medium,
61,88338,Female,Wymondham,16.1,1.9,0.02,0,4,0,2,1,0,3,No,Medium,Evening,Top-up,Yes,65.8,Card,Very Low,Really unhappy with this visit this morning doing a few essentials. offers were confusing. Aisles were cluttered.
75,41967,Female,Fakenham,13.2,1.6,0,1,4,6,14,5,7,6,No,Medium,Evening,Bulk shop,No,75.8,Card,Very Low,"Not acceptable today this morning doing a few essentials. especiallyeveryone looked stretched and the fruit and veg selection looked tired. It was hard to find things, and on the plus side, click & collect was efficient."
63,16642,Male,Wymondham,14.1,1.7,0.19,0,3,2,4,1,1,2,Yes,Low,Morning,Top-up,Yes,58.1,Cash,Very High,"Excellent experience after work doing a few essentials. surprisinglypayment was quick and easy, and getting in and out was hassle-free. Good availability across the aisles. I’d definitely recommend it."
34,50949,Male,Fakenham,17.9,1.3,0.19,0,7,1,2,1,0,3,No,Low,Afternoon,Top-up,Yes,42,Unknown,Very Low,"Not acceptable today this afternoon doing a bigger shop than usual. there didn’t seem to be enough staff. The security barriers were annoying, and i had to change my meal plan because things weren’t there."
20,9567,Female,Wymondham,8.7,1.4,0.87,0,3,5,7,7,2,3,Yes,Medium,Evening,Weekly shop,No,71,Card,Very High,Top-notch service today on my way home doing just a couple of items. click & collect was efficient. Getting in and out was hassle-free. Absolutely spot on.
29,24870,Male,Dereham,10.3,1.1,0.76,0,7,1,2,0,0,3,Yes,Medium,Morning,Top-up,No,42,,Very High,"Excellent experience this morning doing a bigger shop than usual. the shelves were well stocked, and I was in and out quickly. I’d definitely recommend it."
20,101778,Male,Fakenham,12.3,0.7,0.6,0,4,4,19,12,2,1,No,High,Morning,Bulk shop,No,80.9,Cash,Medium,A fairly standard shopping trip at the weekend doing a bigger shop than usual. overallbakery items were great. It did the job.
49,41533,Female,Norwich,7.7,,0.45,2,11,4,20,3,15,1,Yes,Medium,Afternoon,Bulk shop,No,57.4,Cash,High,"I was happy with my visit after work doing just a couple of items. access was straightforward. The fruit and veg selection looked great, and click & collect was efficient. Would recommend based on today."
46,50228,Male,Norwich,19.2,2.1,0.04,1,12,5,8,10,4,10,No,High,Afternoon,Bulk shop,No,67.5,Card,Very Low,"Very disappointing experience on my way home doing a bigger shop than usual. several shelves were empty, and I had to query a price at the till. The gates kept beeping for no reason."
53,13461,Female,Norrwich,5,0.8,0.55,1,6,8,19,9,9,2,No,Medium,Evening,Bulk shop,Yes,61.6,Cash,Very High,Top-notch service today this morning doing a quick top-up shop. the team were really helpful and staff opened another till quickly. Payment was quick and easy.
40,,Male,Dereham,8.8,1.1,0.65,0,4,1,1,1,0,3,Yes,Low,Evening,Top-up,Yes,36.3,Apple Pay,Very High,Top-notch service today on my way home doing just a couple of items. getting in and out was hassle-free. It felt clean and organised and pricing was competitive.
69,,Male,Wymondham,10.1,1.5,0.22,0,4,1,11,4,1,3,No,Low,Evening,Weekly shop,No,99,Cash,Very High,"Top-notch service today after work doing a full weekly shop. there seemed to be enough staff around. Access was straightforward. I was in and out quickly, and it felt safe and well organised. Keep it up — brilliant service."
61,53753,Male,Dereham,11.8,,0.04,2,12,2,3,3,2,3,No,High,Evening,Top-up,No,56.7,Cash,Medium,"Neither great nor terrible this afternoon doing just a couple of items. everyone looked stretched, and the store felt messy. Fine for a quick shop."
35,29298,Female,Thetford,6.1,1.5,0.53,0,8,1,2,1,0,3,Yes,Medium,Evening,Top-up,No,47.8,Card,Very High,
49,54229,Male,Fakecnham,14.3,2.2,0.46,1,15,2,10,2,1,3,No,Medium,Evening,Weekly shop,No,77.6,Card,Very Low,Not acceptable today today doing a bigger shop than usual. self-checkout kept flagging errors and fresh food quality was disappointing. Pricing on the shelf didn’t match the till.
53,53398,Female,Norwich,7.8,2.5,0.14,1,7,7,5,4,1,7,No,High,Morning,Weekly shop,No,38.2,Card,Low,"Left feeling underwhelmed today doing a full weekly shop. the layout felt confusing, and the service was abrupt. Not sure I’ll rush back."
27,20148,Male,Norwich,11.8,0.9,0.64,0,6,3,5,3,3,1,No,High,Afternoon,Weekly shop,Yes,67.2,Card,Low,"Not the best visit this afternoon doing a full weekly shop. too many substitutions, and I had to change my meal plan because things weren’t there. I expected more."
37,28441,Male,Fakenham,9.3,1.6,0.45,1,6,7,16,5,13,2,No,Low,Evening,Bulk shop,No,63.5,Cash,Very High,
20,45111,Female,Wymondham,9.4,2.1,0.56,0,3,2,4,1,0,1,No,Low,Evening,Top-up,No,53.5,Apple Pay,High,"A good experience overall at the weekend doing a full weekly shop. offers were clearly labelled, and the store felt well staffed. Good enough that I’ll come back."
75,30850,Female,Fakenham,17.6,1.1,0,0,5,3,0,3,1,4,No,High,Evening,Top-up,Yes,76,Card,Very Low,"Very disappointing experience at the weekend doing a full weekly shop. I asked for help and felt brushed off, and the substitutions didn’t make sense. I’ll be shopping elsewhere next time."
70,18111,Female,Wymondham,16.7,3.5,0.03,1,7,1,3,6,0,3,No,Medium,Morning,Top-up,No,62.9,Card,Very Low,Very disappointing experience after work doing a quick top-up shop. the layout felt confusing.
42,32018,Female,Fakenham,8.5,,0.45,0,6,2,10,9,1,1,No,Medium,Afternoon,Weekly shop,No,67.6,Apple Pay,High,"I was happy with my visit after work doing just a couple of items. surprisinglyI found good deals without hunting, and payment was quick and easy. Good enough that I’ll come back."
20,9839248,Male,Dereham,9.8,,0.62,1,7,4,9,,1,1,No,High,Evening,Weekly shop,Yes,55.5,Card,Very High,
59,27912,Female,Fakenham,17.5,2.2,0.03,0,5,0,1,0,1,3,No,Medium,Evening,Top-up,No,70.3,Card,Very Low,"Honestly, this was a frustrating shop at the weekend doing a few essentials. I couldn’t tell what was actually on deal, and it was difficult to find a space. Aisles were awkward to navigate. I couldn’t find anyone on the shop floor."
24,35827,,Fakenham,15.7,3.5,0.4,0,1,26,6,9,5,0,No,High,Afternoon,Bulk shop,No,62.4,Card,Low,Left feeling underwhelmed at the weekend doing a quick top-up shop. checkout took ages. Signage wasn’t clear. Hope it’s better next time.
63,4633661,Female,Wymondham,11.2,3.5,0.08,0,9,1,8,4,0,4,No,Medium,Evening,Weekly shop,No,74.1,Card,Low,"Left feeling underwhelmed on my way home doing a full weekly shop. genuinelygetting out took longer than it should have, and To be fair, the store felt well staffed. The substitutions didn’t make sense. Could be improved."
61,25553,Male,Norwich,9.3,1,0.2,0,4,1,3,1,1,3,Yes,Medium,Morning,Top-up,Yes,40.1,Card,Very High,Superb visit — very happy this morning doing a few essentials. verysomeone on the floor actually walked me to the right aisle and I saved a bit with the promotions. Keep it up — brilliant service.
71,61094,Female,Wymondham,9.9,,0.03,2,10,6,11,17,4,0,No,Medium,Afternoon,Bulk shop,Yes,65.3,Cash,Medium,
316,57465,Male,Fakenham,11.8,1.6,0.7,0,2,3,4,1,2,3,Yes,Low,Evening,Top-up,No,70.7,Apple Pay,High,"Pretty pleased with how it went this morning doing a quick top-up shop. quiteBut, it was hard to find things and the shop felt well looked after. Access was straightforward. I’d happily shop here again."
71,62226,Female,Dereham,11.9,4.7,0,1,3,10,11,12,8,0,No,High,Evening,Bulk shop,No,84.4,Card,Very Low,Not acceptable today on my way home doing some bits for dinner. too many items were out of stock and it was hard to find things. The fresh area looked untidy.
24,43280,Female,Thetford,13.7,3.9,0.44,0,6,5,1,1,0,2,No,High,Evening,Top-up,Yes,71.9,Card,Low,"Not the best visit on my way home doing a full weekly shop. the gates kept beeping for no reason. Queues were far too long, and the substitutions didn’t make sense. A couple of things i picked up were bruised. Hope it’s better next time."
20,52564,Non-binary,Dereham,14.2,0.7,0.59,0,13,6,10,5,10,0,No,Medium,Morning,Bulk shop,No,110.9,Unknown,Very Low,"Honestly, this was a frustrating shop this morning doing a full weekly shop. seriouslyI had to wait for an approval at self-checkout, and there were spillages that hadn’t been dealt with. I don’t plan to return soon."
20,35088,Female,Derpeham,5.8,1.1,0.8,0,7,3,11,2,3,4,Yes,Medium,Afternoon,Weekly shop,Yes,91.8,Card,Very High,Excellent experience after work doing a quick top-up shop. everything I needed was in stock and collection was quick and well organised. Keep it up — brilliant service.
72,36781,Male,Thetford,13.5,1.5,0.19,0,4,2,2,1,1,1,No,Medium,Afternoon,Top-up,Yes,54.3,Card,High,
38,37955,Female,Dereham,14.1,3.6,0.25,1,7,1,1,4,1,5,No,High,Afternoon,Top-up,Yes,73.3,Apple Pay,Low,"A bit disappointing overall after work doing a few essentials. it didn’t feel very clean, and only a couple of tills were open."
67,26715,Male,Dereham,6.4,,0.16,0,4,0,4,1,2,4,No,Medium,Afternoon,Top-up,Yes,43.5,Card,Very High,"Excellent experience this morning doing a quick top-up shop. surprisinglyfresh food quality was good, and click & collect was efficient. Keep it up — brilliant service."
35,40911,,Wymondham,10.5,,0.47,2,12,8,11,13,8,0,Yes,Medium,Afternoon,Bulk shop,No,56.8,Card,Medium,Neither great nor terrible on my way home doing a bigger shop than usual. at timespopular items were available and the layout felt confusing.
52,33596,Male,Fakenham,13.4,1.6,0.04,3,7,12,14,10,8,0,No,High,Afternoon,Bulk shop,No,90.8,Unknown,Low,A bit disappointing overall after work doing some bits for dinner. seriouslyclick & collect was delayed. I had to query a price at the till and the store felt understaffed. I expected more.
62,25274,Female,Thetford,14.1,2.1,0.2,0,5,12,6,11,6,0,Yes,Medium,Morning,Bulk shop,No,87.9,Card,Medium,A fairly standard shopping trip this morning doing a few essentials. somewhatI had to wait for an approval at self-checkout. Fine for a quick shop.
64,61114,Female,Wymondham,16.3,1.5,0.28,1,4,2,3,2,1,4,Yes,Low,Morning,Top-up,No,97.3,Card,Very High,
33,17073,Prefer not to say,Wymondham,10.1,,0.22,0,15,2,2,1,0,3,No,Low,Evening,Top-up,Yes,50.3,Apple Pay,Very Low,
30,39166,Other,Wymondham,8.8,2.1,0.5,1,10,0,2,1,0,4,Yes,Low,Afternoon,Top-up,No,49.2,Card,Very High,Really great shop from start to finish this morning doing a few essentials. surprisinglythe shelves were well stocked and queues moved fast. This is why I keep coming back.
47,34485,Non-binary,Fakenham,12.2,,0.08,0,9,1,1,1,1,2,No,Medium,Evening,Top-up,No,37.4,Card,Very Low,"Not acceptable today on my way home doing some bits for dinner. the substitutions didn’t make sense. The fresh area looked untidy, some items were near expiry, and checkout took ages. I’ll be shopping elsewhere next time."
29,30055,Female,Thetford,9.9,,0.6,0,8,3,11,4,4,1,Yes,Medium,Morning,Weekly shop,Yes,70.8,Google Pay,Very High,Really great shop from start to finish this afternoon doing a few essentials. quitethere seemed to be enough staff around and the fruit and veg selection looked great. I’d definitely recommend it.
63,58217,Male,Dereham,13.1,1.6,0,0,6,2,0,0,0,4,No,High,Evening,Top-up,No,41.6,Card,Very Low,
20,,Male,Norwich,,,0.86,0,7,5,6,2,1,4,Yes,Low,Afternoon,Weekly shop,Yes,39.5,,High,"A good experience overall this afternoon doing a full weekly shop. the receipt matched the shelf prices. I saved a bit with the promotions and it felt safe and well organised. The layout was easy to navigate. Overall, a solid experience."
20,20868,Female,Dereham,15,1.8,0.68,0,6,1,2,1,0,7,No,High,Evening,Top-up,Yes,60.3,Cash,Very Low,
42,30186,Female,Norwich,14.6,,0.38,3,10,3,7,16,2,4,No,High,Evening,Weekly shop,No,51.4,Card,Low,Not the best visit this morning doing a quick top-up shop. a couple of things I picked up were bruised and the store felt understaffed. Could be improved.
41,32559,Prefer not to say,Thoetford,12.3,2.1,0.45,2,9,2,4,1,1,2,No,High,Evening,Top-up,No,59.3,Card,Medium,Neither great nor terrible this afternoon doing a few essentials. loyalty pricing was confusing. Fine for a quick shop.
42,134209,Non-binary,Norwich,16.9,2.4,0.03,0,25,1,3,5,2,2,Yes,Medium,Evening,Weekly shop,Yes,55,Card,Very Low,Very disappointing experience after work doing a bigger shop than usual. quiteI couldn’t find anyone on the shop floor. The car park felt cramped. It needs serious improvement.
20,25565,Female,Dereham,12.1,1.8,0.75,1,6,3,10,4,7,2,Yes,Medium,Evening,Weekly shop,Yes,39.7,Card,High,
63,35305,Female,Wymondham,18,,0.16,0,6,2,20,3,1,2,Yes,Medium,Afternoon,Weekly shop,No,82.6,Card,Very High,
51,42524,Male,Norwich,9.9,1.6,0.25,3,8,9,24,6,13,1,No,Low,Morning,Bulk shop,No,71.1,Card,High,"Generally a positive visit this afternoon doing a quick top-up shop. genuinelyThat said, the store felt messy. Staff were friendly and the entrance and exits felt well managed. Would recommend based on today."
29,41764,Female,Thetford,8.4,0.6,0.5,0,4,2,3,1,0,3,Yes,Medium,Afternoon,Top-up,Yes,58.2,Card,High,
47,69481,Female,Fakenhqam,20.2,1.3,0.2,1,6,1,5,1,1,7,No,Medium,Morning,Top-up,Yes,100.1,Card,Very Low,
26,30965,Female,Thetford,10.2,2.1,0.61,1,16,3,8,5,,1,Yes,Low,Afternoon,Weekly shop,Yes,42.6,Cash,High,I was happy with my visit at the weekend doing some bits for dinner. self-checkout was smooth and the loyalty discounts worked smoothly. Help was available when i needed it.
51,59036,Female,Fakenham,10.5,0.9,0.56,1,7,3,12,4,2,2,Yes,Low,Afternoon,Weekly shop,No,67.4,Card,High,I was happy with my visit after work doing just a couple of items. the promotions were easy to understand. Everything i needed was in stock. Getting in and out was hassle-free.
36,28109,Other,Fakenham,4.7,2,0.45,1,6,0,7,0,3,3,Yes,Medium,Evening,Top-up,Yes,51.8,Card,Medium,"A fairly standard shopping trip at the weekend doing some bits for dinner. a bitAlso, signage made things easy to find, and everything I needed was in stock. Fine for a quick shop."
28,17816,Male,Wymondham,10.3,0.9,0.73,1,5,8,28,7,4,4,Yes,Low,Evening,Bulk shop,No,97.4,Card,High,
32,21101,Female,Dereham,10.3,1.1,0.61,1,5,6,12,2,3,2,Yes,Low,Morning,Weekly shop,Yes,51.3,Unknown,Very High,"Excellent experience after work doing some bits for dinner. quiteThat said, I couldn’t find anyone on the shop floor, and click & collect was efficient. This is why I keep coming back."
75,62466,Male,Dereheam,13.8,0.8,0,0,4,1,1,1,0,4,No,Low,Morning,Top-up,No,56.9,Card,Low,
42,17089,Male,Fakenham,10.8,1,0.33,2,5,2,3,2,0,8,No,Medium,Afternoon,Top-up,No,70.9,Card,Very High,
51,37995,Male,Norwich,12.4,2.5,0.33,0,2,1,2,2,0,2,Yes,Low,Morning,Top-up,Yes,67.1,Card,High,"A good experience overall today doing just a couple of items. genuinelyoffers were clearly labelled, and collection was quick and well organised. I was served quickly, and the entrance and exits felt well managed."
20,35732,Female,Wymondham,11,0.7,0.79,0,6,3,11,3,2,3,Yes,Medium,Afternoon,Weekly shop,No,37.2,Apple Pay,Very High,
283,289327,Female,Thetford,13.9,1.1,0.15,1,13,12,8,12,3,4,No,High,Evening,Bulk shop,Yes,53.3,Apple Pay,Very Low,
20,65735,Female,Fakenham,10.7,2.2,0.75,0,5,0,1,1,0,3,Yes,High,Evening,Top-up,Yes,32.1,Google Pay,Medium,
63,17116,Male,Thetford,12.1,1.7,0.1,1,7,2,17,3,1,4,No,Low,Afternoon,Weekly shop,Yes,63.2,Card,High,
52,46829,Male,Norwich,9.3,1.3,0.48,2,11,3,7,6,3,7,Yes,Low,Morning,Weekly shop,Yes,74.7,Card,High,"Generally a positive visit after work doing just a couple of items. help was available when I needed it, and it felt safe and well organised."
66,12422,Female,Norwich,11.4,2.2,0.26,0,5,2,3,1,0,1,Yes,Low,Morning,Top-up,No,65.8,Card,Very High,"Top-notch service today at the weekend doing a bigger shop than usual. bakery items were great, and That said, pricing on the shelf didn’t match the till. Substitutions were sensible. Absolutely spot on."
20,49143,Male,Wymondham,9.9,1.1,0.88,0,2,3,3,4,,2,No,Low,Afternoon,Top-up,No,49.6,Apple Pay,High,"Pretty pleased with how it went today doing a bigger shop than usual. aisles were tidy. That said, staff seemed uninterested, and plenty of parking available. I’d happily shop here again."
48,11690,Female,Wymondham,9.5,3.6,0.22,3,10,6,6,6,6,3,No,High,Afternoon,Weekly shop,Yes,59.3,Card,Medium,
75,66085,Male,Wymondham,15.2,1.2,0.07,0,9,7,4,2,3,3,No,Medium,Evening,Weekly shop,No,61.4,Cash,Low,"Left feeling underwhelmed this afternoon doing a bigger shop than usual. reallythe fruit and veg selection looked tired, and aisles were awkward to navigate. Not sure I’ll rush back."
37,43831,Female,Norwich,4.4,0.8,0.72,3,10,13,26,3,9,3,Yes,Medium,Morning,Bulk shop,No,40.2,Card,Very High,Top-notch service today at the weekend doing a full weekly shop. parking was easy. The store felt well staffed. I was served quickly.
34,,Male,Thetford,10.2,1.2,0.48,1,4,11,29,6,7,2,Yes,Low,Morning,Bulk shop,Yes,74.3,Card,Very High,
23,29946,Non-binary,Dereham,15.6,,0.76,0,5,1,3,2,0,2,No,High,Morning,Top-up,No,59,Unknown,Medium,"A fairly standard shopping trip this afternoon doing some bits for dinner. aisles were tidy. No major complaints, but nothing stood out either."
43,93365,,Wymondham,16,1.9,0.21,1,12,7,7,5,1,2,Yes,High,Morning,Weekly shop,No,82.7,Cash,Low,"Left feeling underwhelmed this morning doing a quick top-up shop. I had to wait for an approval at self-checkout. To be fair, the store was clean. Hope it’s better next time."
51,70351,Male,Dereham,13.2,0.6,0.32,0,6,4,4,5,8,1,No,Medium,Morning,Weekly shop,No,75.4,Card,Medium,Neither great nor terrible at the weekend doing some bits for dinner. I couldn’t find the discounts advertised and there didn’t seem to be enough staff.
47,24156,Prefer not to say,Wymondham,11.8,3.1,0.21,0,3,0,1,1,0,2,Yes,Low,Evening,Top-up,Yes,60.6,Card,Medium,"Neither great nor terrible this afternoon doing a quick top-up shop. a bitthe store felt messy, and prices felt high. Getting in and out was hassle-free, and that said, it felt safe and well organised. It did the job."
43,28575,Prefer not to say,Dereham,10.2,1.7,0.37,1,8,7,11,2,0,5,Yes,Medium,Afternoon,Weekly shop,Yes,79.8,Card,Very High,"Superb visit — very happy after work doing some bits for dinner. parking was easy, and the shelves were well stocked. The loyalty discounts worked smoothly. I’d definitely recommend it."
41,32508,Female,Wymondham,13,0.7,0.43,3,10,3,2,3,1,4,No,High,Evening,Top-up,No,63.2,Card,Medium,"It was fine, nothing special today doing a few essentials. overallthe shop felt well looked after. The machine rejected my card once."
40,54136,Female,Fakenham,8.3,1.1,0.24,2,7,2,24,3,0,3,No,Low,Evening,Weekly shop,Yes,41.4,Cash,High,"A good experience overall after work doing a full weekly shop. I was in and out quickly. Bakery items were great, fresh items were well replenished, and getting in and out was hassle-free. Overall, a solid experience."
20,17434,Female,Thetford,10.2,0.9,0.71,0,4,3,9,5,1,5,Yes,Low,Afternoon,Weekly shop,Yes,63.4,Cash,Very High,
20,39149,Female,Fakenham,6.7,1.7,0.78,0,5,1,3,3,0,3,Yes,Medium,Morning,Top-up,No,42.1,Card,Very High,Top-notch service today this morning doing a few essentials. bakery items were great. The store was clean. This is why I keep coming back.
75,13501,Male,Norwich,10.2,,0.01,0,22,10,5,9,4,1,No,High,Evening,Bulk shop,No,95.7,Card,Low,"A bit disappointing overall at the weekend doing some bits for dinner. To be fair, I was served quickly. Aisles were cluttered, and i had to query a price at the till. I expected more."
31,17739,Female,Norwich,9.6,2.6,0.51,1,2,1,3,2,0,7,No,Medium,Evening,Top-up,No,42.3,,Very High,Excellent experience this afternoon doing a full weekly shop. it was easy to get around and bakery items were great. Parking was easy. Keep it up — brilliant service.
22,27012,Female,Thetford,15.5,,0.46,0,8,9,2,6,1,1,No,High,Evening,Weekly shop,No,64.1,Card,Very Low,
39,24816,,Norwich,15.4,,0.16,3,13,2,2,5,1,8,Yes,High,Afternoon,Top-up,No,60.5,,Low,"Not the best visit after work doing some bits for dinner. I had to query a price at the till, and a couple of things I picked up were bruised. Could be improved."
